Quantity,Name,Tags,Scryfall ID,Mana Value,Colors,Identities,Mana cost,Types,Sub-types,Super-types,Scryfall Oracle ID
1,"Aang, Air Nomad",,f369827d-e4cd-4bc7-8c5e-72882eff0908,5,White,White,{3}{W}{W},Creature,"Human,Avatar,Ally",Legendary,e46b2ac6-97d6-48f2-aba3-cd92f8e092c6
1,"Aang, A Lot to Learn",,50a22ad6-d2a4-48a6-91c9-147c946a60a5,3,"White,Green","White,Green",{2}{G/W},Creature,"Human,Avatar,Ally",Legendary,854278bc-2bcf-45dd-abd5-6aca7a1e5fc9
1,"Aang, at the Crossroads // Aang, Destined Savior",,fea89ca0-8070-4f28-9851-994314f9d248,5,"White,Green,Blue","White,Blue,Green",,Creature,"Human,Avatar,Ally",Legendary,96e5d4a1-e59f-4140-823f-a17e15ee5d8d
1,Aang's Defense,,642e1b90-c240-44fe-82b2-7522026224ae,1,White,White,{W},Instant,,,92b617f9-6e6b-42a0-9c45-6ff5f6193051
1,Aang's Iceberg,,720fbd87-b1c1-4b3b-97a1-46b943b115e3,3,White,White,{2}{W},Enchantment,,,646f9ad8-9d18-4b42-954a-e21a62e9f0e8
1,Aang's Journey,,5e51f727-5a9b-4bc7-83a9-dbcf1c933e15,2,,,{2},Sorcery,Lesson,,ddf461b9-a205-4dc7-a9c3-c047b1ff709f
1,Aang's Journey,,5e51f727-5a9b-4bc7-83a9-dbcf1c933e15,2,,,{2},Sorcery,Lesson,,ddf461b9-a205-4dc7-a9c3-c047b1ff709f
1,"Aang, Swift Savior // Aang and La, Ocean's Fury",,82866a0e-485a-4f7e-8c49-f7d9ff3f4ad4,3,"White,Blue","White,Blue",,Creature,"Human,Avatar,Ally",Legendary,cbf09050-39d0-463b-96db-9e22011ae0d8
1,"Aang, the Last Airbender",,245e008c-e073-443f-9592-6f628c0026ec,4,White,White,{3}{W},Creature,"Human,Avatar,Ally",Legendary,70564c3a-858f-498e-8b92-acb3ca54ae7e
1,Aardvark Sloth,,e16365a2-4969-4ad5-af95-9dd2d0499f06,4,White,White,{3}{W},Creature,"Beast,Sloth",,1c385880-3eea-45c8-8e89-330ad8ad92b1
